"Qty","Value","Part Num","Package","Parts","Mfg Name","VID","Vendor Part Num","Description","Pkg Code","XREF"
"3","0.1uF","C0805C104K5RACTU","C0805","C5, C13, C14","Kemet","DK","399-1170-1-ND","CAP CER 0.1UF 100NF 50V 10% X7R 0805","0805","REF10"
"2","0.47uF / 50v","EEE-1HAR47AR","PANASONIC_VS_B-2","C8, C9","Panasonic Electronic Components","DK","PCE4628CT-ND","CAP ALUM 0.47UF 50V 20%","PAN_VS_B","REF7"
"3","1M","RC2012F105CS","R0805","R1, R6, R9","Samsung Electro-Mechanics America Inc","DK","1276-5440-1-ND","RES 1M OHM 1/8W 1% 0805","0805 (2012 Metric)","REF12"
"2","1N4148","1N4148WS","SOD-323F","D1, D3","Fairchild Semiconductor","DK","1N4148WSFSCT-ND","DIODE SML SIG 75V 0.15A","SOD323F","REF2"
"1","1k","RC2012J102CS","R0805","R29","Samsung Electro-Mechanics America Inc","DK","1276-5531-1-ND","RES 1K OHM 1/8W 5% 0805","0805 (2012 Metric)","REF15"
"1","1uF / 50v","EEE-1HA010SR","PANASONIC_VS_B-2","C12","Panasonic Electronic Components","DK","PCE3912CT-ND","CAP ALUM 1.0UF 50V 20% SMD","PAN_VS_B","REF9"
"1","2.7k","RMCF0805JT2K70","R0805","R2","Stackpole Electronics Inc","DK","RMCF0805JT2K70CT-ND","RES 2.7K OHM 1/8W 5%","0805","REF21"
"2","4.7k","RMCF0805JT4K70","R0805","R10, R16","Stackpole Electronics Inc","DK","RMCF0805JT4K70CT-ND","RES 4.7K OHM 1/8W 5%","0805","REF26"
"2","6.8k","MCR10ERTF6801","R0805","R7, R23","Rohm Semiconductor","DK","RHM6.80KCHCT-ND","RES 6.8K OHM 1/8W 1% 0805","SMD","REF24"
"1","8.2k","RMCF0805JT8K20","R0805","R3","Stackpole Electronics Inc","DK","RMCF0805JT8K20CT-ND","RES 8.2K OHM 1/8W 5%","0805","REF22"
"3","10k","RC2012J103CS","R0805","R11, R12, R18","Samsung Electro-Mechanics America Inc","DK","1276-5552-1-ND","RES 10K OHM 1/8W 5% 0805","0805","REF14"
"3","15nF","CC0805KRX7R9BB153","C0805","C3, C4, C6","Yageo","DK","311-1143-1-ND","CAP CER 0.015UF 15nF 50V 10% X7R","0805","REF18"
"3","22k","RMCF0805JT22K0","R0805","R4, R13, R28","Stackpole Electronics Inc","DK","RMCF0805JT22K0CT-ND","RES 22K OHM 1/8W 5%","0805","REF23"
"1","33nF","CL21B333KBANNNC","C0805","C2","Samsung Electro-Mechanics America Inc","DK","1276-1796-1-ND","CAP CER 0.033UF 33nF 50V 10% X7R","0805","REF17"
"1","33uF","EEE-1AA330WAR","PANASONIC_VS_B-2","C11","Panasonic Electronic Components","DK","PCE4572CT-ND","CAP ALUM 33UF 10V 20%","PAN_VS_B","REF8"
"3","47k","RMCF0805JT47K0","R0805","R8, R24, R27","Stackpole Electronics Inc","DK","RMCF0805JT47K0CT-ND","RES 47K OHM 1/8W 5%","0805","REF25"
"1","82k","RMCF0805JT82K0","R0805","R21","Stackpole Electronics Inc","DK","RMCF0805JT82K0CT-ND","RES 82K OHM 1/8W 5%","0805","REF28"
"5","100k","RC2012J104CS","R0805","R5, R14, R15, R22, R30","Samsung Electro-Mechanics America Inc","DK","1276-5576-1-ND","RES 100K OHM 1/8W 5%","0805","REF13"
"2","100nF","C0805C104K5RACTU","C0805","C1, C7","Kemet","DK","399-1170-1-ND","CAP CER 0.1UF 100NF 50V 10% X7R 0805","0805","REF10"
"1","220R","RMCF0805JT220R","R0805","R17","Stackpole Electronics Inc","DK","RMCF0805JT220RCT-ND","RES 220 OHM 1/8W 5%","0805","REF27"
"1","220pF","CC0805KRX7R9BB221","C0805","C10","Yageo","DK","311-1123-1-ND","CAP CER 220PF 50V 10% X7R","0805","REF20"
"1","470k","RMCF0805JT470K","R0805","R25","Stackpole Electronics Inc","DK","RMCF0805JT470KCT-ND","RES 470K OHM 1/8W 5%","0805","REF29"
"1","AUDIO-JACK-3P","SJ-3523-SMT-TR","CUI-352X-SMT","JP1","CUI Inc","DK","CP-3523SJCT-ND","CONN AUDIO JACK 3.5MM STEREO SMD","None","REF33"
"1","Accent","PTS525SM10SMTR LFS","TACTILE-SWITCH-SMD","S1","C&K; Components","DK","CKN9104CT-ND","SWITCH TACTILE SPST-NO 0.05A 12V","None","REF16"
"5","BC846","BC846BMTF","SOT23","T1, T2, T3, T5, T6","Fairchild Semiconductor","DK","BC846BMTFCT-ND","TRANSISTOR NPN 65V 0.1A","SOT23","REF1"
"1","BC856","BC856BMTF","SOT23-BEC","T4","Fairchild Semiconductor","DK","BC856BMTFCT-ND","TRANSISTOR PNP 65V 100MA","SOT-23","REF3"
"1","Decay / 500k Lin","296UD504B1N","POTENTIOMETER-PTV09","R26","CTS Electrocomponents","DK","CT2270-ND","POT 500K OHM 1/8W CARB VERTICAL","THT","REF30"
"1","FDLL914A","FDLL914A","MELF-MLL34","D2","Fairchild Semiconductor","DK","FDLL914ACT-ND","DIODE SMALL SIG 100V 0.2A","LL34","REF4"
"1","HEADER","*","1X02-5.08-SCREWTERM","J1","*","*","*","*","*","*"
"1","Level / 100k Lin","296UD104B1N","POTENTIOMETER-CTS296","R20","CTS Electrocomponents","DK","CT2268-ND","POT 100K OHM 1/8W CARB VERTICAL","THT","REF31"
"1","TL072D","TL072SG-13","SO08","IC1","Diodes Incorporated","DK","TL072SG-13DICT-ND","IC OPAMP JFET 3MHZ","8SOP","REF5"
"1","Tone / 10k Log","PTV09A-4020F-A103","POTENTIOMETER-PTV09","R19","Bourns Inc.","DK","PTV09A-4020F-A103-ND","POT 10K OHM 9MM SQ .05W CARB","THT","REF32"
"1","Trigger","PTS525SM10SMTR LFS","TACTILE-SWITCH-SMD","S2","C&K; Components","DK","CKN9104CT-ND","SWITCH TACTILE SPST-NO 0.05A 12V","None","REF16"
