Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code,XREF
3,"C5, C13, C14",0.1uF,C0805,C0805C104K5RACTU,Kemet,DK,399-1170-1-ND,CAP CER 0.1UF 100NF 50V 10% X7R 0805,0805,REF10
2,"C8, C9",0.47uF / 50v,PANASONIC_VS_B-2,EEE-1HAR47AR,Panasonic Electronic Components,DK,PCE4628CT-ND,CAP ALUM 0.47UF 50V 20%,PAN_VS_B,REF7
3,"R1, R6, R9",1M,R0805,RMCF0805FT1M00,Stackpole Electronics Inc,DK,RMCF0805FT1M00CT-ND,RES 1M OHM 1/8W 1%,0805,REF37
2,"D1, D3",1N4148,SOD-323F,1N4148WS,Fairchild Semiconductor,DK,1N4148WSFSCT-ND,DIODE SML SIG 75V 0.15A,SOD323F,REF2
1,"R29",1k,R0805,RMCF0805FT1K00,Stackpole Electronics Inc,DK,RMCF0805FT1K00CT-ND,RES 1K OHM 1/8W 1%,0805,REF40
1,"C12",1uF / 50v,PANASONIC_VS_B-2,EEE-1HA010SR,Panasonic Electronic Components,DK,PCE3912CT-ND,CAP ALUM 1.0UF 50V 20% SMD,PAN_VS_B,REF9
1,"R2",2.7k,R0805,RMCF0805FT2K70,Stackpole Electronics Inc,DK,RMCF0805FT2K70CT-ND,RES 2.7K OHM 1/8W 1%,0805,REF55
2,"R10, R16",4.7k,R0805,RMCF0805FT4K70,Stackpole Electronics Inc,DK,RMCF0805FT4K70CT-ND,RES 4.7K OHM 1/8W 1%,0805,REF32
2,"R7, R23",6.8k,R0805,MCR10ERTF6801,Rohm Semiconductor,DK,RHM6.80KCHCT-ND,RES 6.8K OHM 1/8W 1% 0805,SMD,REF17
1,"R3",8.2k,R0805,RMCF0805FT8K20,Stackpole Electronics Inc,DK,RMCF0805FT8K20CT-ND,RES 8.2K OHM 1/8W 1% ,0805,REF34
3,"R11, R12, R18",10k,R0805,RMCF0805FT10K0,Stackpole Electronics Inc,DK,RMCF0805FT10K0CT-ND,RES 10K OHM 1/8W 1%,0805,REF36
3,"C3, C4, C6",15nF,C0805,CC0805KRX7R9BB153,Yageo,DK,311-1143-1-ND,CAP CER 0.015UF 15nF 50V 10% X7R,0805,REF14
3,"R4, R13, R28",22k,R0805,RMCF0805FT22K0,Stackpole Electronics Inc,DK,RMCF0805FT22K0CT-ND,RES 22K OHM 1/8W 1%,0805,REF35
1,"C2",33nF,C0805,CL21B333KBANNNC,Samsung Electro-Mechanics America Inc,DK,1276-1796-1-ND,CAP CER 0.033UF 33nF 50V 10% X7R,0805,REF13
1,"C11",33uF,PANASONIC_VS_B-2,EEE-1AA330WAR,Panasonic Electronic Components,DK,PCE4572CT-ND,CAP ALUM 33UF 10V 20%,PAN_VS_B,REF8
3,"R8, R24, R27",47k,R0805,RMCF0805FT47K0,Stackpole Electronics Inc,DK,RMCF0805FT47K0CT-ND,RES 47K OHM 1/8W 1%,0805,REF38
